,Pre_Crossover_Avg,Post_Crossover_Avg,Change
SPY_Close,249.72119140625,232.10920206705728,-17.611989339192718
SPY_High,252.94168565560167,236.39582411599883,-16.54586153960284
SPY_Low,241.2682259002331,229.85339426503427,-11.414831635198823
VIX_Close,32.36666742960612,34.14000002543131,1.7733325958251953
ATR,8.920691740761077,8.48853262025463,-0.4321591205064479
MA5,252.8093424479167,238.62198079427083,-14.187361653645866
MA20,263.8731508890788,253.3938667297363,-10.479284159342484
RSI,41.498869818549736,34.921386584166875,-6.577483234382861
MACD,-1.8680202465367692,-2.1646231122358888,-0.29660286569911953
Realized_Volatility,0.44832194535413467,0.48264189463684737,0.0343199492827127
Trend_5_20,0.3333333333333333,0.0,-0.3333333333333333
High_Vol,0.6666666666666666,0.6666666666666666,0.0
Trend_HighVol_Interaction,0.3333333333333333,0.0,-0.3333333333333333
Return_1d,0.022424712968028632,-0.017266337357124465,-0.0396910503251531
Return_5d,-0.05092130934482706,-0.028992182867625494,0.021929126477201567
Return_10d,-0.0381673491726026,-0.09537162740616413,-0.05720427823356153
